Content,Emotion_predicted,Emotion_actual
think I may cry I just sell my 97 civic Its no longer mine,sadness,sadness
kick it incredibly old schoolï ½ I whole heartedly approve,worry,happiness
the music in the trailer be terrible imo cheesy handbag house I be expect some dnb or hard house,worry,hate
I have to close my eye when I watch it,worry,worry
to the lumberjack party,happiness,sadness
alone home nice very nice,happiness,happiness
Twilight again lt 3 I m watch the Audio Commentary it s soo funny,happiness,happiness
Just try the Ommegang Chocolate Indulgence no chocolate no indulgence just metallic Best I can,worry,worry
catch in the rain Sand Monsoon all the way home even though i look like a complete idiot,happiness,sadness
awesomeness,happiness,love
Sbarro for dinner and Krispy Kreme for dessert Mmm But so not very healthy,happiness,happiness
thank you,love,happiness
for Smallville my late night savior It s the one where Clark meet young Flash total awesomeness,happiness,happiness
dont think my twitpic be work,worry,worry
Aww that s still awesome You have fun though I can assume,happiness,happiness
I m gon na miss my old username nick jonas shontelle layne and sean kingston reply to my OLD USERNAME I m gon na start all over,worry,worry
I be ok you,worry,worry
yeah,happiness,sadness
Up I Wan na Stay In My bed,worry,sadness
nothing like a sale to perk up a girl s even huh,happiness,love
sorry i didnt reply earlier i feel better now,worry,worry
happy with my 5 45 wake up call this morning she s go to be grumpy later,happiness,worry
We re English well in part it s Weather it IS an obsession,happiness,love
don t let him hear you,worry,worry
how be Aussie im hopin to be there in Sydney in less than a week just get my VISA on thursday whoot whoot,worry,happiness
borgellaj you know what They re YOUR CATS,worry,happiness
judday everybody,happiness,happiness
hope it isnt too hot a summer then hows little one today be good i hope lol,happiness,worry
Fukn Nite want sum pinga but couldn t get any,sadness,worry
feel like such an idiot on the phone and it make it worse when Brandon say I didn t say the right stuff,sadness,love
it s a dreary monday morning and I sleep like crap give me a break,sadness,sadness
like we re rain out for weekend climb,happiness,sadness
Ah bad time I hate exams I feel so unprepared this time as well Sucks haha,sadness,worry
haha i see go wear BLUE heey ur watch JONAS hahaha haven t watch any ep yet hope it show here soon p,happiness,happiness
i have one wish it would be for my friend J to not have to work,worry,love
LauraA22is miss the fun she have with at Eclipse 3 SArmy SArmy SArmy,sadness,happiness
fun concert screen crack on phone again because it fell,happiness,love
INNERCHILD SARAH LIKES COOKIES AND IS SAD THAT YOU FEEL SAD AND GUILTY,sadness,sadness
happy Monday,happiness,love
Star Wars Day everyone May the 4th be with you all xx,happiness,happiness
amp I really miss Alice amp Charlotte tonight Dunno why though hey be both spoon,worry,sadness
throw up,happiness,worry
aaww no worry fresh start to work on grow it out again,worry,happiness
ur already go,worry,worry
have the best day ever i miss him more tomorrow too,sadness,sadness
need a blankie this train an icebox,worry,hate
i m more than will to give him what he need XD but srsly i also think he need one soon,worry,worry
OMG 17 wow I m the old one,happiness,happiness
storm here The Power keep on go on then off It suck,worry,hate
really really want a golden retriever Too bad I win t be live in a home where she could run around for about 10 years,worry,worry
not to fall asleep at work,worry,sadness
be my second to last biology and the first time that i have ever be on time Haha,happiness,happiness
get home from Tillie s dance recital lol it be spectacular,happiness,happiness
home now,happiness,worry
to Hey Zulu Red n Meth Sux to be at work right now,happiness,sadness
Just saw it tonight as well Great movie Hope you re well mate Cheers E,happiness,love
angry anxious and on top of everything LONELY,sadness,sadness
Did you get to meet Ace Frehley Love his guitar play Not sure how coherent a speaker he might might not be,worry,love
of soul time 4 this mama will visialize next live environent Speak soon,worry,happiness
so tire of my responsabilities i wish i be a kid it seem that everyone around me be all about money and not me anymore,sadness,sadness
Lindsay we be your spanish fansite and we love you ww ultimatelohan org please reply us I wish you good luck,love,love
yay for bj and lorraine amd their baby hahaha,happiness,love
black girls just piss me off like a mother fucker,happiness,hate
seriously hate me,hate,worry
Homework BOO,worry,happiness
i can t go tonight Cait,worry,worry
head hurt because that air freshner be the most horriblel scent ever Im super gross out,worry,hate
the French Open have be on for a week and I haven t have the opportunity to catch a single match,worry,love
like your first broadcast,happiness,love
come up with a new plan with my bestie Oh this one be gon na be great,happiness,love
RIP Attack Attack MTV headbangersball really and now you be inside the quot goth quot genre wow I ll still be seein you at,worry,happiness
be a hot mama with chichis grande,happiness,love
in anniston mississippi because we get in a car accident now im scar to drive boy drivers ed should be fun this summer D,worry,worry
Aww thank,happiness,love
days till birthday I just hope the weather good And it best be good on thursday and friday Otherwise il scream happy b day keiron,happiness,happiness
Photoshop Effects,worry,happiness
seem to find the new Mountain Dew Throwback in 12 pack only in 1 liter bottle,worry,worry
only hav 8 followers,sadness,sadness
ahahaha That s funny,happiness,worry
I do too Sounds interest,happiness,happiness
i hate when that happen i hope you figure it out soon,worry,sadness
advice for all of you dont pressure wash your foot it hurt and be not worth it you really do want the skin on your foot FYI ow,worry,sadness
I wish I could go See ya at Warped for sure tho,happiness,sadness
with HW gon na read a bite then pass out Got a cool week to look forward too in between all the mayhem,happiness,love
my bed be SO comfy amp my nap have be much too short Getting up for work do not want,worry,sadness
be a big weekend final project be due Sunday Night I will be at this computer all day and night,worry,sadness
love amp respect to all the mommies out in the twitterverse You all inspire me,love,love
should be excite today but someone very close to me have mardy bum and its start to rub off on me,worry,worry
I m stick with BOO Jeez shoot me now,worry,worry
the man with the hook for a hand be kinda freak me out right now,worry,worry
get home from a partyy have a good time can t wait for my birthday in 7 days,happiness,worry
haha yeah 10th of May lol im greet in advance haha,happiness,happiness
a book instead of revise Thinking about lunch Heart rate be 56 bpm just in case you want to know,happiness,happiness
the best weekend EVER XX,happiness,happiness
pack for mom day Happy Mom Day to all you hot mommas out there,love,love
Thats ok ur a good person My Idol soo good people deserve sum good comment hows the weather ova der London be cold,love,love
Hey You have a bunch of events on facebook that jenny and i aren t invite to we re sad,sadness,worry
hot cuppa coffee make with milk amp fortify with Monin s Irish Coffee syrup Bliss,happiness,happiness
I eff the iphone It be nice know you,happiness,sadness
ditch school i hate it and im take a huge dump it hurt REAL BAD,sadness,love
do I learn today Never post anything you ve sell on ebay use royal mail They lose it I refund compo s nowhere near my bad,worry,sadness
from pack watch the office Pam quot I have just wake up I didn t look cute That s how I know he mean it quot,worry,happiness
i dont have a bank i cash my shit at tom thumb i ve have four bank account and they ve all go negative,worry,worry
PUFFY IS LEAVINGG NOO,worry,sadness
gift amp honesty box message have be discontinue due to abuse hehe dalï ½ï ½ facebookovï ½ aplikace na hovno,worry,hate
Coraline last night It be really good The animation be excellent and the creativity be inspirational,happiness,happiness
hangin out with my cousin holly and tlkin 2 my grandparents my phone go dead,worry,worry
off to bed almost everything be pack get ta be up in about 6 hours to get ready for a double shift of work,worry,worry
awake too early for my like on a sunday but i m look at my picture last night be bloody awesome there be no word,happiness,love
